,itemId,color,guarantee,memory,name,price,ram,site
226,09cdc7e19803de7cf57685d2e271524e78516679, Noir , Garantie 1 an, 128 Go , Galaxy S10 plus ,3999.0, 8 Go ,jumia
227,1eda93028dc1196d8f2b7b0c71ef829325d77ccc, Rouge , Garantie 1 An, 32 Go , A5s ,473.0, 2 Go ,jumia
228,548c1615bd8bbad40fe8c90e9e510955be5d1a6a, Gold , Garantie 1 An, 32 Go , T8S  ,479.0, 4 Go ,jumia
229,78bcead3d33c6da864a0baaa984f245cf10e716e, Bleu , Garantie 1 An, 32 Go , Y5 Prime 2019 ,390.0, 2 Go ,jumia
230,3109c6b2fc6c62ae58d4f6ce7756db8d27ffd580, Rouge , Garantie 1 An, 32 Go , Galaxy A10 ,459.0, 2 Go ,jumia
231,663f83a81a7e4e292905954097167bad4c11d6c6, Gold , Garantie 1An + Baguette selfie, 16 Go  , Z9 ,190.0, 1 Go  ,jumia
232,89a0ecb0c62db1e2240b90f7d3536cc48cd38efa, Rouge , Garantie 1 An,  32 Go , A5s ,475.0, 2 Go ,jumia
233,2f7b66e559a273bbc436dd364b48460658cd43eb, Noir , Garantie 1 an, 16Go, Y5 Lite 2018 ,359.0, 1Go ,jumia
234,bbd9bfdfdc9338b8c3a3728891dc10b2b841eb44, Bleu , Garantie: 1 an + Carte Mémoire 16 Go, 8 Go , 1 Plus ,359.0, 1 Go ,jumia
235,e52339a7740e53507239635c6245846d9021db93, Blanc , Garantie 1 An,  8 Go , 2.1 ,359.0, 1 Go ,jumia
236,a758eabb845b2ebab9f382a4b17db17dc6304a33, Noir , Garantie: 1 an + Carte Mémoire 16 Go, 8 Go , 1 Plus ,359.0, 1 Go ,jumia
237,777917853b34cd65ca50019ab932da443de41998, Rouge , Garantie: 1 an + Carte Mémoire 16 Go, 8 Go , 1 Plus ,359.0, 1 Go ,jumia
238,ef5cc6cf7a966c5b1a2f2b9a34b4651c36bbd850, Silver , Garantie 1 An, 16 Go , Redmi   5A ,369.0, 2 Go ,jumia
239,058c539eaad301aada146c113073fda7d71fbe25, Gold , Garantie 1 An, 16 Go , Redmi   5A ,379.0, 2 Go ,jumia
240,7f253de7ee105ee2acfbc7d360e750042cc90198, Bleu , Garantie 1 an, 8 Go , 2.1 ,379.0, 1 Go ,jumia
241,14e247c45892dd44fc024c9c69a4564e29720019, Noir , Garantie 1 An, 16 Go , Le Must ,319.0, 2 Go ,jumia
242,d305c76ca88c291b0cb6d7d51396b1aee13dc863, Noir , Garantie 1 An, 16 Go , Galaxy J4 ,399.0, 2 Go ,jumia
243,26a09c3ed36237d4df2724d5e5eb7d98eafd233e, Noir , Garantie 1 An, 32Go , A3s ,579.0, 3Go ,jumia
244,99254e6032832a5bfeba440f7a258c90905cafb2, Bleu , Garantie 1 an, 64Go , Iphone XR ,2899.0,  2 Go ,jumia
245,4987188a91ff0c46806643476228ca2112f74e0f, Aurora Violet , Garantie 1 An, 64 Go , Y9 2019 ,659.0, 4 Go ,jumia
246,e3fbd7d7c6d0e421b74892d9e12cad2341e09019, Rouge , Garantie 1 An, 8 Go , V5 Plus ,229.0, 1 Go ,jumia
247,81e55a5115dcf1a779ac43cc5a5f9e407bf34d53, Silver , Garantie 1 An, 64 Go , IPhone 8 ,2119.0, 2 Go ,jumia
